,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,returns,sqreturns,price_diff,distance,net_exp_ret,variance,stdev,stdev_yearly,raw_carry,forecast_scalar,forecast,capped_forecast,forecast*returns,cum_series_carry,1%_move,block_value,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed
0,02/01/2017,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0,0.0,0.2400000000000091,0.08333333333333333,2.880000000000109,,,,,30.0,,,,,0.68285,682.8499999999999,575.6596216396209,373.31526463329413,125000.0,334.8376341449282,,,,
1,03/01/2017,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,-0.7449999999999903,0.5550249999999856,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.5550249999999856,0.7449999999999903,11.919999999999845,0.2567114093959719,30.0,7.701342281879158,7.701342281879158,23.566107382551117,23.566107382551117,0.6754000000000001,675.4000000000001,559.0872024883597,362.56805081370123,125000.0,344.7628651213642,265.5136830380963,266.0,,
2,04/01/2017,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,1.0449999999999875,1.0920249999999738,0.25500000000000966,0.08333333333333333,3.060000000000116,0.5840520270270119,0.7642329664618059,12.227727463388895,0.25025091613810324,30.0,7.507527484143097,7.507527484143097,22.973034101478746,46.53914148402986,0.68585,685.8499999999999,589.6780901358368,382.40624145309016,125000.0,326.8775099617033,245.40418899857463,245.0,265.5136830380963,-20.0
3,05/01/2017,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,-0.8299999999999983,0.6888999999999972,0.25500000000000966,0.08333333333333333,3.060000000000116,0.5897194850255517,0.7679319533822979,12.286911254116767,0.2490455035210622,30.0,7.4713651056318655,7.4713651056318655,22.8623772232331,69.40151870726297,0.67755,677.55,577.2185461211865,374.3262271595894,125000.0,333.933320538365,249.4937758678121,249.0,245.40418899857463,4.0
4,06/01/2017,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,1.2450000000000045,1.5500250000000113,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.6416278912403873,0.8010167858668052,12.816268573868884,0.23875904147631438,30.0,7.162771244289432,7.162771244289432,21.91808000752649,91.31959871478946,0.6900000000000001,690.0000000000001,633.9311871064876,411.1043748385572,125000.0,304.0590362218552,217.7905321216263,218.0,249.4937758678121,-32.0
5,09/01/2017,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.519999999999996,0.27039999999999587,0.25500000000000966,0.08333333333333333,3.060000000000116,0.6215615187409067,0.7883917292443565,12.614267667909704,0.24258245350101923,30.0,7.277473605030577,7.277473605030577,22.269069231393168,113.58866794618262,0.6951999999999999,695.1999999999999,722.2159187663528,468.3570233199798,125000.0,266.8904143124175,194.22879455942933,194.0,217.7905321216263,-24.0
6,10/01/2017,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,-0.4099999999999966,0.1680999999999972,0.25499999999999545,0.08333333333333333,3.0599999999999454,0.5970500852954521,0.7726901612518773,12.363042580030037,0.24751188715816191,30.0,7.4253566147448575,7.4253566147448575,23.16711263800441,136.75578058418705,0.6911,691.1,749.9626657282047,486.3507887247407,125000.0,257.01613505708957,190.84364585423177,191.0,194.22879455942933,-3.0
7,11/01/2017,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.17499999999999716,0.030624999999999004,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.5664325131173195,0.752617109237705,12.04187374780328,0.259095890335939,30.0,7.77287671007817,7.77287671007817,24.251375335444365,161.00715591963143,0.69285,692.8499999999999,796.5732860108475,516.5777759780345,125000.0,241.97711518529425,188.08582829956762,188.0,190.84364585423177,-3.0
8,12/01/2017,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.5949999999999989,0.35402499999999865,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.5549510259217887,0.7449503513132864,11.919205621012582,0.2617624109529378,30.0,7.852872328588133,7.852872328588133,24.500961665195458,185.5081175848269,0.6988,698.8,887.6954244856439,575.67048277894,125000.0,217.13810893444844,170.5157847133286,171.0,188.08582829956762,-18.0
9,13/01/2017,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0,0.0,0.2600000000000051,0.08333333333333333,3.1200000000000614,0.5249536731692596,0.7245368680538344,11.592589888861351,0.2691374429624125,30.0,8.074123288872375,8.074123288872375,25.67571205861283,211.1838296434397,0.6988,698.8,964.8293458704054,625.6918307969579,125000.0,199.77885893249504,161.30391375312072,161.0,170.5157847133286,-9.0
